City,Name,Year,Price,Kilometers Driven,KM,State,Transmission,Fuel Type,EMI per Month
delhi-ncr,Tata Nexon,2021,754000,10.5K km,10500,DL,manual,petrol,12840
delhi-ncr,Honda WR-V,2019,698000,38K km,38000,DL,manual,petrol,11886
delhi-ncr,Maruti Ciaz,2017,519000,87.5K km,87500,DL,manual,petrol,8838
delhi-ncr,Hyundai Elite i20,2018,557000,35K km,35000,DL,manual,petrol,9485
delhi-ncr,Hyundai i20 N Line,2021,829000,69K km,69000,DL,automatic,petrol,14117
delhi-ncr,Kia Sonet,2020,968000,94K km,94000,UP,automatic,diesel,16484
delhi-ncr,Kia Seltos,2019,1129000,102K km,102000,HR,automatic,petrol,19416
delhi-ncr,Maruti Ciaz,2020,793000,82K km,82000,DL,automatic,petrol,13504
delhi-ncr,Hyundai Verna,2013,410000,47K km,47000,DL,manual,petrol,11051
delhi-ncr,Tata Altroz,2020,540000,105K km,105000,HR,manual,petrol,9195
delhi-ncr,Tata Altroz,2022,596000,20K km,20000,DL,manual,petrol,10149
delhi-ncr,Mercedes GLA,2016,1800000,57K km,57000,DL,automatic,petrol,30957
delhi-ncr,Ford EcoSport,2019,709000,70.5K km,70500,HR,automatic,petrol,12073
delhi-ncr,Kia Sonet,2021,854000,50.5K km,50500,DL,manual,petrol,14543
delhi-ncr,Hyundai Venue,2022,989000,42.5K km,42500,HR,manual,petrol,16842
delhi-ncr,Hyundai Aura,2022,602000,32K km,32000,UP,manual,petrol,10251
delhi-ncr,Tata Tiago,2023,611000,5K km,5000,DL,manual,petrol,10404
delhi-ncr,Volkswagen Polo,2019,624000,42K km,42000,DL,manual,petrol,9962
delhi-ncr,Kia Sonet,2021,896000,24.5K km,24500,UP,manual,petrol,15258
delhi-ncr,Kia Sonet,2022,978000,12K km,12000,DL,manual,petrol,16654
delhi-ncr,Kia Sonet,2020,907000,48.5K km,48500,DL,manual,petrol,15445
delhi-ncr,Mahindra Thar,2021,1149000,60K km,60000,HR,manual,diesel,19760
delhi-ncr,Hyundai Elite i20,2018,518000,25.5K km,25500,DL,manual,petrol,8821
delhi-ncr,Hyundai Elite i20,2016,447000,109K km,109000,DL,manual,petrol,7612
delhi-ncr,Hyundai New i20,2020,712000,89K km,89000,DL,automatic,petrol,12124
delhi-ncr,Tata Tiago,2017,402000,33.5K km,33500,DL,manual,petrol,6845
delhi-ncr,Tata Nexon,2019,674000,45K km,45000,DL,manual,petrol,11477
delhi-ncr,Ford EcoSport,2021,765000,56K km,56000,UP,manual,petrol,13027
delhi-ncr,Maruti Baleno,2018,469000,82K km,82000,HR,automatic,petrol,7986
delhi-ncr,Hyundai Venue,2020,768000,55.5K km,55500,HR,manual,petrol,13078
delhi-ncr,Hyundai Elite i20,2017,475000,55K km,55000,DL,manual,petrol,8088
delhi-ncr,BMW 3 Series GT,2018,2650000,56.5K km,56500,HR,automatic,petrol,45576
delhi-ncr,Hyundai New i20,2023,859000,23K km,23000,DL,manual,petrol,14628
delhi-ncr,Hyundai Venue,2022,931000,3K km,3000,DL,manual,petrol,15854
delhi-ncr,Hyundai New i20,2023,830000,28K km,28000,DL,manual,petrol,14134
delhi-ncr,Hyundai Venue,2022,916000,30K km,30000,HR,manual,petrol,15598
delhi-ncr,Honda Jazz,2022,875000,22.5K km,22500,DL,automatic,petrol,13969
delhi-ncr,Maruti Baleno,2018,494000,46K km,46000,DL,manual,petrol,8412
delhi-ncr,Hyundai Venue,2021,946000,52.5K km,52500,DL,automatic,petrol,16109
delhi-ncr,Maruti Baleno,2018,575000,44K km,44000,HR,manual,petrol,9791
delhi-ncr,Skoda Slavia,2022,1218000,10.5K km,10500,HR,automatic,petrol,20947
delhi-ncr,Mahindra Thar,2021,1165000,48.5K km,48500,HR,manual,diesel,20034
delhi-ncr,Hyundai Creta,2016,644000,67K km,67000,DL,manual,petrol,10966
delhi-ncr,Kia Seltos,2020,1185000,67K km,67000,UP,automatic,diesel,20379
delhi-ncr,Hyundai Grand i10,2015,312000,70K km,70000,HR,manual,petrol,6696
delhi-ncr,Honda Amaze,2015,326000,95K km,95000,DL,manual,petrol,5934
delhi-ncr,Kia Seltos,2020,1138000,79K km,79000,DL,manual,petrol,19571
delhi-ncr,Hyundai Verna,2021,1109000,64.5K km,64500,DL,automatic,petrol,19072
delhi-ncr,Maruti Ertiga,2013,417000,51K km,51000,DL,manual,petrol,11240
delhi-ncr,Maruti Baleno,2016,514000,30K km,30000,HR,automatic,petrol,8753
delhi-ncr,Hyundai Elite i20,2015,421000,97.5K km,97500,UP,manual,petrol,7663
delhi-ncr,Audi Q3,2018,1970000,66.5K km,66500,UP,automatic,petrol,33881
delhi-ncr,Kia Sonet,2021,917000,17.5K km,17500,HR,manual,petrol,15615
delhi-ncr,Tata Nexon,2020,875000,43K km,43000,DL,automatic,petrol,14900
delhi-ncr,Hyundai Elite i20,2018,544000,50.5K km,50500,DL,manual,petrol,9264
delhi-ncr,Tata Tigor,2024,809000,10K km,10000,DL,manual,petrol+cng,13776
delhi-ncr,Maruti S-Cross,2022,878000,23.5K km,23500,UP,manual,petrol,14951
delhi-ncr,Hyundai Venue,2022,857000,37K km,37000,DL,manual,petrol,14594
delhi-ncr,Maruti Vitara Brezza,2022,871000,23.5K km,23500,DL,manual,petrol,14832
delhi-ncr,Hyundai Creta,2019,998000,55K km,55000,DL,automatic,petrol,16995
delhi-ncr,Skoda Slavia,2022,1378000,44.5K km,44500,UP,automatic,petrol,23699
delhi-ncr,Maruti Ignis,2021,536000,38K km,38000,HR,manual,petrol,9127
delhi-ncr,Tata Nexon,2022,755000,33K km,33000,HR,manual,petrol,12857
delhi-ncr,Kia Carnival,2020,2428000,50K km,50000,DL,automatic,diesel,41756
delhi-ncr,Honda City,2015,460000,60.5K km,60500,DL,manual,petrol,8373
delhi-ncr,Hyundai Elite i20,2015,388000,65K km,65000,DL,manual,petrol,7062
delhi-ncr,Maruti Baleno,2018,544000,76.5K km,76500,HR,automatic,petrol,9264
delhi-ncr,Hyundai New i20,2021,897000,27K km,27000,DL,automatic,petrol,15275
delhi-ncr,Hyundai Elite i20,2017,460000,83K km,83000,HR,manual,petrol,7833
delhi-ncr,Honda Jazz,2017,409000,88.5K km,88500,UP,manual,petrol,6529
delhi-ncr,Hyundai Creta,2016,676000,113K km,113000,DL,manual,petrol,11511
delhi-ncr,Audi A3,2019,1950000,62K km,62000,DL,automatic,petrol,33537
delhi-ncr,Maruti Ciaz,2016,551000,71.5K km,71500,DL,manual,petrol,9383
delhi-ncr,Maruti Ciaz,2016,563000,60K km,60000,DL,manual,petrol,9587
delhi-ncr,Hyundai Venue,2023,978000,20K km,20000,DL,manual,petrol,16654
delhi-ncr,Maruti Baleno,2021,519000,37K km,37000,DL,manual,petrol,8838
delhi-ncr,Kia Seltos,2021,1059000,26K km,26000,DL,manual,petrol,18212
delhi-ncr,Kia Seltos,2019,1177000,16K km,16000,DL,automatic,petrol,20242
delhi-ncr,Ford EcoSport,2018,624000,39K km,39000,DL,automatic,petrol,10626
delhi-ncr,Maruti S-Cross,2021,859000,26K km,26000,HR,manual,petrol,14628
delhi-ncr,Hyundai Creta,2020,1239000,77.5K km,77500,DL,automatic,petrol,21308
delhi-ncr,Maruti Baleno,2018,478000,61K km,61000,DL,manual,petrol,8140
delhi-ncr,Renault Triber,2020,563000,53K km,53000,HR,automatic,petrol,9587
delhi-ncr,Maruti Ciaz,2015,492000,85.5K km,85500,HR,manual,petrol,8955
delhi-ncr,Maruti Celerio,2020,442000,67K km,67000,DL,manual,petrol+cng,7527
delhi-ncr,Hyundai Verna,2013,445000,40.5K km,40500,DL,manual,petrol,11995
delhi-ncr,Maruti A-Star,2012,215000,61K km,61000,DL,manual,petrol,7666
delhi-ncr,Honda Jazz,2015,342000,65.5K km,65500,HR,manual,petrol,5836
delhi-ncr,Maruti Swift,2013,284000,66.5K km,66500,DL,manual,petrol,7655
delhi-ncr,Maruti S-Cross,2020,790000,83K km,83000,DL,automatic,petrol,13453
delhi-ncr,Honda Amaze,2017,426000,57K km,57000,DL,manual,petrol,7254
delhi-ncr,Mercedes C-Class,2020,3450000,33K km,33000,DL,automatic,petrol,59336
delhi-ncr,Hyundai Creta,2016,727000,64K km,64000,HR,manual,petrol,12380
delhi-ncr,Hyundai Aura,2021,639000,17.5K km,17500,DL,manual,petrol,10881
delhi-ncr,MG Hector,2020,1217000,42K km,42000,HR,automatic,petrol,20929
delhi-ncr,Maruti Ciaz,2022,949000,29K km,29000,DL,automatic,petrol,16160
delhi-ncr,Hyundai Elite i20,2019,529000,21.5K km,21500,HR,manual,petrol,9008
delhi-ncr,Maruti Vitara Brezza,2021,814000,39K km,39000,DL,manual,petrol,13861
delhi-ncr,Maruti Baleno,2018,524000,35.5K km,35500,DL,manual,petrol,8923
delhi-ncr,Toyota Etios Liva,2019,478000,69.5K km,69500,DL,manual,petrol,7631
delhi-ncr,Hyundai New i20,2023,1039000,8.5K km,8500,HR,automatic,petrol,17868
delhi-ncr,Hyundai Venue,2022,1039000,24K km,24000,UP,automatic,petrol,17868
delhi-ncr,Maruti Wagon R 1.0,2013,243000,35.5K km,35500,DL,manual,petrol,6738
delhi-ncr,Hyundai New Santro 1.1,2019,420000,85K km,85000,DL,manual,petrol+cng,6705
delhi-ncr,Hyundai New Santro 1.1,2019,426000,117K km,117000,HR,manual,petrol+cng,6801
delhi-ncr,Honda City,2014,453000,62.5K km,62500,DL,manual,petrol,9722
delhi-ncr,Renault Triber,2023,627000,21K km,21000,DL,manual,petrol+cng,10677
delhi-ncr,Tata Tiago NRG,2019,440000,20.5K km,20500,DL,manual,petrol,7492
delhi-ncr,Hyundai Venue,2020,765000,76K km,76000,HR,automatic,petrol,13027
delhi-ncr,Honda Amaze,2019,543000,89K km,89000,DL,automatic,petrol,9246
delhi-ncr,Maruti Wagon R 1.0,2012,228000,17.5K km,17500,DL,manual,petrol,8843
delhi-ncr,Hyundai New Santro 1.1,2019,444000,53K km,53000,DL,manual,petrol+cng,7088
